Ulasan	Ekspresi aspek	Ekspresi aspek seharusnya	Ekspresi sentimen	Ekspresi sentimen seharusnya
air bersih untuk mck tidak ada .	air, mck	air bersih, mck	bersih, tidak ada	tidak ada
sangat ramah pelayanannya . dan bersih tempatnya . pokonya nyaman banget deh .	pelayanannya, tempatnya, pokonya	pelayanannya, tempatnya	sangat ramah, bersih, nyaman banget	sangat ramah, bersih, nyaman banget
kamar luas , dikamar utama ada kulkas dan balkon ngadep jalan tetapi kebersihan harap diperhatikan lagi .	kamar, kebersihan	kamar, kulkas, kebersihan	luas, harap diperhatikan lagi	luas, ada, harap diperhatikan lagi
staf ramah hotel dengan pemandangan luar biasa ( mungkin datang saat warna padi lagi bagus bagusnya ) .	staf	staf, pemandangan	ramah	ramah, luar biasa
that's a cheap room dan bersih .	that's a cheap room	room	bersih	cheap, bersih
letaknya strategis . ruangan bersih . keperluan mandi tersedia . ada makanan kecil untuk tamu . overall sangat memuaskan . recommended .	letaknya, ruangan, keperluan mandi, makanan, overall	letaknya, ruangan, keperluan mandi, makanan kecil, overall	strategis, bersih, tersedia, ada, sangat memuaskan, recommended	strategis, bersih, tersedia, ada, sangat memuaskan, recommended
pintu kamar mandi tidak bisa ditutup . pintu teras tidak bisa juga . shower tidak hangat . dan dilantai 3 . lelah naik turun tangga .	pintu kamar mandi, pintu, shower	pintu kamar mandi, pintu teras, shower	tidak bisa ditutup, teras, tidak bisa, tidak hangat	tidak bisa ditutup, tidak bisa, tidak hangat
free snack + sabun / sampo airy tidak ada . ac nya juga bocor air nya keluar di dalam ruangan . semoga di perbaiki tempat dan kinerjanya dimana hak buat konsumen .	free, snack, sabun, sampo, ac nya	free snack, sabun, sampo, ac nya	tidak ada, bocor	tidak ada, bocor
pokonya , semuanya terbaik apalagi pelayanan dari kakak yayan . top banget .	pokonya, semuanya, pelayanan	semuanya, pelayanan	terbaik, top banget	terbaik, top banget
fasilitasnya bagus , pelayanannya oke , pokonya recomended banget . terimakasih airy .	fasilitasnya, pelayanannya, pokonya	fasilitasnya, pelayanannya	bagus, oke, recomended banget	bagus, oke, recomended banget
untuk kamar double no pemandangan , tidak sesuai dengan yang digambar . air panas juga tidak berfungsi .	kamar, air panas	kamar, pemandangan, air panas	tidak sesuai, tidak berfungsi	no, tidak sesuai, tidak berfungsi
saya sudah beberapa kali tidur di hotel yang harganya 200rb'an tetapi hotel ini yang benarbenar buat tamu nya bisa buat betah di ruangan saya ada kulkas kecil jadi tambah jatuh cinta saya , kalau kurang nya sih cuma ac nya tidak full dingin dan lampu tidur di atas kasur tidak bisa di hidupkan tetapi jujur ini hotel mulai sekarang jadi langganan saya tia bulan bobo disini .	ac nya, lampu tidur	kulkas, ac nya, lampu tidur	tidak full dingin, tidak bisa di hidupkan	ada, tidak full dingin, tidak bisa di hidupkan
bau , kamar mandi kotor , tidak ada hot shower , untung tidak pesan yang superior . kapok . pokonya kamarnya bau tidak enak , kotor tidak terawat .	kamar mandi, hot shower, pokonya kamarnya	kamar mandi, hot shower, kamarnya	bau, kotor, tidak ada, kapok, bau tidak enak, kotor, tidak terawat	bau, kotor, tidak ada, kapok, bau tidak enak, kotor, tidak terawat
kamarnya bersih , pelayanan cukup oke , ada cemilan gratisnya di kamar lumayan banyak , terima kasih breakfastnya bervariasi . makanannya enak apalagi restonya berada di rooftop 4 floor . jadi sarapan bisa langsung lihat pemandangan laut yang bagus dan sunrise pagi ini itu keren dan indah banget kelihatan sekali dari rooftopnya , beruntung pas kesana cuacanya lagi cerah banget , terima kasih airy untuk pelayanannya cukup mengesankan .	kamarnya, pelayanan, cemilan gratisnya, breakfastnya, makanannya, pelayanannya	kamarnya, pelayanan, cemilan gratisnya, breakfastnya, makanannya, pemandangan, pelayanannya	bersih, cukup oke, ada, lumayan banyak, bervariasi, enak, cukup mengesankan	bersih, cukup oke, ada, lumayan banyak, bervariasi, enak, bagus, cukup mengesankan
tidak ada yang bertulisan airy di room 107 , remote tv tidak bisa di pakai ( rusak ) , remote ac tidak ada ( hidupin ac manual ) , perlengkapan kamar mandi hanya ada handuk . kami sangat kecewa yang di room 107 room 103 sangat puas perlengkapan room ada semua .	remote tv, remote ac	remote tv, remote ac	tidak bisa, tidak ada, sangat kecewa, sangat puas	tidak bisa, rusak, tidak ada, sangat kecewa, sangat puas
